quote,date,place,occasion,publish,remarks
.@arianahuff is unattractive both inside and out. I fully understand why her former husband left her for a man - he made a good decision.,2012.08.28,,,Twitter,
"[John McCain is]... not a war hero. He's a war hero - he's a war hero 'cause he was captured. I Like people that weren't captured, OK, I hate to tell you.",2015.07.18,,,Iowa Family Leadership Summit,
[Kim Jong-Un] speaks and his people sit up at attention. I want my people to do the same.,2018.06.15,,,Fox & Friends,
"[Overseas] we build a school, we build a road, they blow up the school, we build another school, we build another road, they blow them up, we build again. In the meantime we can't get a fucking school in Brooklyn.",2011.04.28,,Speech in Las Vegas,,
"A good leader takes a little more than their share of the blame, a little less than their share of the credit.",,,,,
A leader's job is to help those who are doing poorly to do well and to help those who are doing well to do even better.,,,,,
A strong brand is built on understanding and solving customer needs.,,,,,
All of the women on The Apprentice flirted with me - consciously or unconsciously. That's to be expected.,2004,,,Trump: How To Get Rich,
America first will be the major and overriding theme of my administration.,,,,,
"America will be free, or die in the attempt.",,,,,
"America will start winning again, winning like never before.",,,,,
"Americanism, not globalism, will be our credo.",,,,,
And nobody knows what a community college is.,,,,,
"And the greatest phrase, I think, in the history of politics is on all of those red and white hats that I see out there: 'Make America Great Again.'",,,,,
"And together, we will make America wealthy again.",,,,,
"And when you're talking about an atmosphere, oceans are very small. And it blows over and it sails over.",,,,,
Anyone who thinks my story is anywhere near over is sadly mistaken.,,,,,
"As a kid, I was making a building with blocks in our playroom. I didn't have enough. So I asked my younger brother Robert if I could borrow some of his. He said, 'Okay, but you have to give them back when you're done.' I used all of my blocks, then all of his blocks, and when I was done I had a great building, which I then glued together. Robert never did get those blocks back.",2004.01,,,Esquire,
"As a leader, you are never strong as your team.",,,,,
"As long as you're going to be thinking anyway, think big.",,,,,
"As your president, I will do everything in my power to protect our LGBTQ citizens from the violence and oppression of a hateful foreign ideology.",,,,,
"At least 24 players kneeling this weekend at NFL stadiums that are now having a very hard time filling up. The American public is fed up with the disrespect the NFL is paying to our Country, our Flag and our National Anthem. Weak and out of control!",207.11.28,,,Twitter,
"Certain guys tell me they want women of substance, not beautiful models. It just means they can't get beautiful models.",1999.09.19,,,New York Times,
"Cher is somewhat of a loser. She's lonely, she's unhappy, and she's very miserable.",,,,,
Climate change has been proven to be a false myth.,,,,,
"Continue to be true to yourself, build your brand one connection at a time.",,,,,
Courage is not the absence of fear. Courage is the presence of integrity.,,,,,
"Courage means standing up for what is right, not always what is popular.",,,,,
"Crooked Hillary Clinton is the worst (and biggest) loser of all time. She just can't stop, which is so good for the Republican Party. Hillary, get on with your life and give it another try in three years!",2017.11.18,,,Twitter,
Despite the constant negative press covfefe,2017.05.31,,,Twitter,
"Do you believe in punishment for abortion – yes or no – as a principle? The answer is there has to be some form of punishment. For the woman? Yeah, there has to be some form.",2016.03.30,,,MSNBC,
Do you mind if I sit back a little? Because your breath is very bad.,,,,,
"Don't get sidetracked. If you do get sidetracked, get back on the main road.",,,,,
Donald J. Trump is calling for a total and complete shutdown of Muslims entering the United States until our country's representatives can figure out what the hell is going on.,2015.12.07,,,,
